# STATION: AMB
# STATION NAME: ALTA - MT BALDY
# LATITUDE: 40.5677
# LONGITUDE: -111.6374
# ELEVATION [ft]: 11066.0
# STATE: UT
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,volts,Fahrenheit,code,Fahrenheit,Fahrenheit
AMB,01/01/2011 00:00 MST,-16.29,79.6,21.79,261.7,27.29,12.47,-32.8,W,,-20.74
AMB,01/01/2011 01:00 MST,-16.4,79.7,21.39,260.9,27.29,12.47,-32.85,W,,-20.82
AMB,01/01/2011 02:00 MST,-16.01,80.0,24.4,255.9,30.49,12.47,-33.05,WSW,,-20.37
AMB,01/01/2011 03:00 MST,-11.7,82.0,23.8,249.1,28.9,12.47,-26.75,WSW,,-15.68
AMB,01/01/2011 04:00 MST,-13.31,81.2,24.7,252.1,30.09,12.46,-29.25,WSW,,-17.44
AMB,01/01/2011 05:00 MST,-12.6,81.5,21.21,253.2,26.31,12.46,-27.43,WSW,,-16.68
AMB,01/01/2011 06:00 MST,-12.5,81.9,25.5,263.6,44.29,12.46,-28.26,W,,-16.48
AMB,01/01/2011 07:00 MST,-8.5,83.6,34.2,269.9,47.49,12.46,-23.97,W,,-12.16
AMB,01/01/2011 08:00 MST,-9.6,83.1,35.5,265.8,48.38,12.45,-25.79,W,,-13.36
AMB,01/01/2011 09:00 MST,-9.29,83.2,37.89,273.2,47.6,12.45,-25.68,W,,-13.03
AMB,01/01/2011 10:00 MST,-7.49,83.7,42.7,273.5,55.3,12.48,-23.6,W,,-11.14
AMB,01/01/2011 11:00 MST,-6.39,80.3,41.09,273.3,53.51,12.71,-21.75,W,,-10.91
AMB,01/01/2011 12:00 MST,-5.01,64.4,38.01,277.2,50.0,13.4,-19.31,W,,-14.02
AMB,01/01/2011 13:00 MST,-4.59,50.7,35.7,269.9,45.99,13.86,-18.39,W,,-18.32
AMB,01/01/2011 14:00 MST,-4.59,51.4,29.8,265.9,40.49,14.0,-17.58,W,,-18.05
